model	term	estimate	std.error	statistic	p.value	conf.low	conf.high	qval
Clostridium botulinum (type a; haemagglutinin complex) (M03AX01)	(Intercept)	419.7397718321495	1.3937913102529245	301.149654718382	0	417.00762734852145	422.4719163157775	0
Clostridium botulinum (type a; haemagglutinin complex) (M03AX01)	med1	-7.654762633038245	14.09290361287289	-0.5431643359886568	0.5870299749657912	-35.28002373272527	19.970498466648777	0.9675018601624734
Clostridium botulinum (type a; haemagglutinin complex) (M03AX01)	ECG_EVENT_AGE	0.14163259976493195	0.021029546007920136	6.734933778959867	1.7394612168906824e-11	0.10040995926194715	0.18285524026791675	2.2585473621141083e-11
Clostridium botulinum (type a; haemagglutinin complex) (M03AX01)	SEX_IMPUTED1	4.3984672052898395	0.6231108223377168	7.058884306949071	1.8014628545138556e-12	3.1770298326963955	5.6199045778832835	2.4804832901560538e-12
Clostridium botulinum (type a; haemagglutinin complex) (M03AX01)	N14_CHRONKIDNEYDIS1	-0.7251463802855463	2.8030676415073366	-0.2586974247598257	0.7958745627762551	-6.219789471861944	4.76949671129085	0.8403397943601283
Clostridium botulinum (type a; haemagglutinin complex) (M03AX01)	I9_CHD1	1.8255008472193957	1.1341624703604667	1.609558502353903	0.1075289904668011	-0.3977127100318405	4.048714404470632	0.11877520867542024
Clostridium botulinum (type a; haemagglutinin complex) (M03AX01)	E4_DIABETES1	2.92337596547442	0.8368521091543243	3.4933005885933888	4.7935854301639627e-4	1.2829575923511507	4.563794338597689	6.058406818536943e-4
Clostridium botulinum (type a; haemagglutinin complex) (M03AX01)	I9_HEARTFAIL1	22.099624269790255	1.7510414967411407	12.620845543021005	3.258048836552312e-36	18.66718906178419	25.53205947779632	4.56621141972769e-36
Clostridium botulinum (type a; haemagglutinin complex) (M03AX01)	PRS_SCORE	4.491409237461672	0.29847353798522047	15.04793110900194	1.4432970865000082e-50	3.9063339652049693	5.076484509718374	1.848594690308654e-50
Insuline glulisine (A10AB06)	(Intercept)	419.71510850685536	1.3937543162730266	301.13995243379475	0	416.98303653974926	422.44718047396145	0
Insuline glulisine (A10AB06)	med1	8.981678625794101	12.635439078210686	0.7108323319988659	0.47720637627518825	-15.786624147945107	33.74998139953331	0.9544077744167605
Insuline glulisine (A10AB06)	ECG_EVENT_AGE	0.1421357350782367	0.021031313937938105	6.758290780008754	1.4821186792014596e-11	0.10090962903474346	0.18336184112172996	2.2585473621141083e-11
Insuline glulisine (A10AB06)	SEX_IMPUTED1	4.387315392745633	0.6231078730340405	7.041020636415476	2.0468038426244016e-12	3.165883801450803	5.608746984040463	2.4804832901560538e-12
Insuline glulisine (A10AB06)	N14_CHRONKIDNEYDIS1	-0.7952799193035417	2.804872477785158	-0.28353514307770855	0.7767731018940666	-6.29346089595931	4.702901057352227	0.8403397943601283
Insuline glulisine (A10AB06)	I9_CHD1	1.8203817773381006	1.1341798705229873	1.6050203540455144	0.10852405603026634	-0.40286588814561974	4.043629442821821	0.11877520867542024
Insuline glulisine (A10AB06)	E4_DIABETES1	2.8873122418336044	0.8380030617521547	3.4454674136829673	5.726483934769779e-4	1.2446377427265183	4.52998674094069	6.198076729397879e-4
Insuline glulisine (A10AB06)	I9_HEARTFAIL1	22.085684284022705	1.7511527960730615	12.612082928199971	3.6344350124991896e-36	18.653030904290713	25.518337663754696	4.56621141972769e-36
Insuline glulisine (A10AB06)	PRS_SCORE	4.4912203692256965	0.29847029891550825	15.047461625309268	1.4533239211703397e-50	3.9061514462742175	5.076289292177175	1.848594690308654e-50
Methotrexate (L01BA01)	(Intercept)	419.7270279613275	1.3938209041144	301.13411753428386	0	416.99482546707424	422.4592304555808	0
Methotrexate (L01BA01)	med1	0.3188870795872762	4.1657722720522665	0.07654933077514978	0.9389837530979729	-7.846963610838379	8.48473777001293	0.9957070847893525
Methotrexate (L01BA01)	ECG_EVENT_AGE	0.14183031643705818	0.02102779346793111	6.744897730394754	1.6247289064823506e-11	0.10061111130666334	0.18304952156745302	2.2585473621141083e-11
Methotrexate (L01BA01)	SEX_IMPUTED1	4.392742875105107	0.6231927693195832	7.048770607369544	1.936581803522966e-12	3.171144867994279	5.614340882215934	2.4804832901560538e-12
Methotrexate (L01BA01)	N14_CHRONKIDNEYDIS1	-0.7213540110432671	2.803199953035989	-0.25733234272567995	0.796928050418532	-6.21625646297761	4.773548440891075	0.8403397943601283
Methotrexate (L01BA01)	I9_CHD1	1.8254833215838355	1.134244625239521	1.6094264684730986	0.10755783869935084	-0.3978912777100365	4.048857920877707	0.11877520867542024
Methotrexate (L01BA01)	E4_DIABETES1	2.918471681030937	0.8368744801828542	3.48734696796258	4.901437993974943e-4	1.2780094556596722	4.558933906402201	6.058406818536943e-4
Methotrexate (L01BA01)	I9_HEARTFAIL1	22.10039520672037	1.751088638491833	12.620946033751247	3.2539652371732374e-36	18.667867590279016	25.532922823161726	4.56621141972769e-36
Methotrexate (L01BA01)	PRS_SCORE	4.491739034592474	0.29848065618657893	15.048677163804905	1.4275049990480095e-50	3.9066498090599606	5.076828260124987	1.848594690308654e-50
Calcium polystyren sulphonate (V03AE01)	(Intercept)	419.7118218307487	1.3937818062064262	301.1316548700789	0	416.97969597718964	422.4439476843078	0
Calcium polystyren sulphonate (V03AE01)	med1	9.271907869856966	11.848345576589068	0.7825487372833858	0.4339125350411047	-13.95351459408556	32.49733033379949	0.9544077744167605
Calcium polystyren sulphonate (V03AE01)	ECG_EVENT_AGE	0.14199308357098697	0.02102762142287282	6.752693550804269	1.540161589047967e-11	0.10077421568760572	0.18321195145436822	2.2585473621141083e-11
Calcium polystyren sulphonate (V03AE01)	SEX_IMPUTED1	4.401051050638697	0.6231091374627019	7.063050091930541	1.7485376493210592e-12	3.179616980779273	5.62248512049812	2.4804832901560538e-12
Calcium polystyren sulphonate (V03AE01)	N14_CHRONKIDNEYDIS1	-1.2574570290399163	2.8849979610572634	-0.4358606300640493	0.6629481988415262	-6.912701976111878	4.397787918032044	0.8403397943601283
Calcium polystyren sulphonate (V03AE01)	I9_CHD1	1.840431789387171	1.1342828506436995	1.6225510139227932	0.10472009015302416	-0.3830177402972068	4.063881319071548	0.11877520867542024
Calcium polystyren sulphonate (V03AE01)	E4_DIABETES1	2.921056579121454	0.8368047384894732	3.4907266232673226	4.8399394317198485e-4	1.280731063156718	4.56138209508619	6.058406818536943e-4
Calcium polystyren sulphonate (V03AE01)	I9_HEARTFAIL1	22.116786576092373	1.751124334617797	12.630049242573982	2.904386759159817e-36	18.684188987214743	25.549384164970004	4.56621141972769e-36
Calcium polystyren sulphonate (V03AE01)	PRS_SCORE	4.491752325283661	0.2984672556897131	15.049397344790451	1.4124238334507194e-50	3.9066893677392756	5.076815282828047	1.848594690308654e-50
Hydrocortisone 17-butyrate (D07AB02)	(Intercept)	419.71382427181976	1.3940717824858357	301.07045386386636	0	416.9811299995266	422.4465185441129	0
Hydrocortisone 17-butyrate (D07AB02)	med1	1.7236972301249023	3.995965717965382	0.43135936386425106	0.6662173194371336	-6.1092944184775	9.556688878727304	0.9675018601624734
Hydrocortisone 17-butyrate (D07AB02)	ECG_EVENT_AGE	0.14190875062547476	0.021027981462860574	6.748567420801311	1.5843691289864516e-11	0.10068917698273112	0.1831283242682184	2.2585473621141083e-11
Hydrocortisone 17-butyrate (D07AB02)	SEX_IMPUTED1	4.393847463089427	0.6230535464596668	7.052118534684983	1.8907878371232275e-12	3.1725223641004376	5.615172562078417	2.4804832901560538e-12
Hydrocortisone 17-butyrate (D07AB02)	N14_CHRONKIDNEYDIS1	-0.7137717896602818	2.803164844549435	-0.25463068682819806	0.7990141143279573	-6.208605421063773	4.78106184174321	0.8403397943601283
Hydrocortisone 17-butyrate (D07AB02)	I9_CHD1	1.8310169225245947	1.13421817993756	1.6143427736499467	0.10648779794984903	-0.3923058380289006	4.05433968307809	0.11877520867542024
Hydrocortisone 17-butyrate (D07AB02)	E4_DIABETES1	2.914584962220361	0.8368873654585077	3.4826490188718995	4.988136543530173e-4	1.2740974788104371	4.555072445630285	6.058406818536943e-4
